code	color	name	mainType	tissue	children	parent	level
MMB	Gray	Medullomyoblastoma	Embryonal Tumor	CNS/Brain	{}	EMBT	3
GCB	LimeGreen	Germinal Center B-Cell Type	Mature B-Cell Neoplasms	Lymphoid	{}	DLBCLNOS	6
SBLU	LimeGreen	Splenic B-Cell Lymphoma/Leukemia	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
OHNCA	DarkRed	Head and Neck Carcinoma	Head and Neck Cancer	Head and Neck	{}	HEAD_NECK	2
PAOS	White	Parosteal Osteosarcoma	Bone Cancer	Bone	{}	OS	3
TMDS	LightSalmon	Therapy-Related Myelodysplastic Syndrome	Leukemia	Myeloid	{}	TMN	5
ARMS	LightYellow	Alveolar Rhabdomyosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	RMS	3
SCST	LightBlue	Sex Cord Stromal Tumor	Sex Cord Stromal Tumor	Ovary/Fallopian Tube	{}	OVARY	2
ITLPDGI	LimeGreen	Indolent T-Cell Lymphoproliferative Disorder of the GI Tract	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
MBC	HotPink	Metaplastic Breast Cancer	Breast Cancer	Breast	{}	BREAST	2
AWDNET	SaddleBrown	Well-Differentiated Neuroendocrine Tumor of the Appendix	Gastrointestinal Neuroendocrine Tumor	Bowel	{}	GINET	3
AMLCBFBMYH11	LightSalmon	AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);CBFB-MYH11	Leukemia	Myeloid	{}	AMLRGA	5
ROCY	Orange	Renal Oncocytoma	Renal Cell Carcinoma	Kidney	{}	NCCRCC	4
LAM	Gainsboro	Pulmonary Lymphangiomyomatosis	Non-Small Cell Lung Cancer	Lung	{}	LUNG	2
SBL	DarkRed	Sialoblastoma	Sialoblastoma	Head and Neck	{}	HEAD_NECK	2
AWM	LightSalmon	AML without Maturation	Leukemia	Myeloid	{}	AMLNOS	5
AMLMRC	LightSalmon	AML with Myelodysplasia-Related Changes	Leukemia	Myeloid	{}	AML	4
CABC	Teal	Cervical Adenoid Basal Carcinoma	Cervical Cancer	Cervix	{}	CERVIX	2
